feature	importance
sleep_lat_21d_slope_mean	0.002351153851333778
sleep_dur_28d_slope_min	0.0023504901960784315
lfhf_5d_cv_min	0.002307768066109052
sleep_dur_21d_slope_min	0.002299462827560416
lfhf_7d_mean_mean	0.0022988421230561184
sleep_dur_5d_slope_min	0.002295714707559466
sleep_qual_21d_mean_std	0.0022866679996445395
sleep_qual_7d_slope_mean	0.002276957785054951
hr_3d_autocorr_mean	0.002251237136497892
sleep_lat_14d_cv_max	0.0022416479788396294
rmssd_3d_mean_max	0.0022412863421230568
rmssd_7d_mean_min	0.0022410237020491102
hr_3d_slope_std	0.002235944797436733
sleep_dur_21d_autocorr_max	0.0022316884785255242
sleep_qual_7d_std_mean	0.0022235053254684666
sleep_qual_21d_std_mean	0.0021964935167615436
sleep_qual_14d_std_std	0.0021875883380080294
sleep_qual_3d_mean_max	0.0021786356462515305
hr_28d_cv_min	0.002146384699282706
sleep_dur_3d_slope_mean	0.0021354331297892717
sleep_qual_5d_mean_max	0.002129817425645651
sleep_dur_28d_mean_max	0.0021137045623458666
rmssd_7d_std_mean	0.002100338002701383
sleep_lat_28d_std_mean	0.0020922875873592723
sleep_lat_7d_std_std	0.002076201127655869
rmssd_3d_cv_max	0.0020745442540858494
sleep_dur_21d_mean_mean	0.002071248710010319
sleep_lat_21d_mean_mean	0.0020670583523406103
sleep_dur_21d_slope_std	0.0020666849951124144
sleep_onset_sd_21d_min	0.0020646486427378873
rmssd_14d_mean_max	0.0020603603096117687
sleep_qual_3d_slope_min	0.0020492202729044833
sleep_dur_3d_std_std	0.002046587513455067
hr_3d_slope_min	0.002037176872018328
lfhf_3d_mean_min	0.002024793388429752
lfhf_5d_autocorr_std	0.002017959770114943
lfhf_14d_autocorr_mean	0.0020056119570106986
lfhf_5d_mean_std	0.001989453688680621
sleep_dur_7d_autocorr_min	0.0019840140509645157
lfhf_21d_mean_max	0.001975308641975309
sleep_lat_3d_slope_std	0.0019605734767025084
rmssd_28d_autocorr_min	0.0019580842499601465
sleep_dur_3d_mean_std	0.0019513574660633478
sleep_qual_7d_mean_max	0.0019486171457219253
sleep_qual_14d_cv_min	0.001933665572778476
rmssd_14d_cv_mean	0.0019239627093084266
lfhf_14d_cv_mean	0.0019196923597025017
sleep_lat_21d_std_max	0.001910877983246405
sleep_dur_3d_std_max	0.0018994683582982267
hr_14d_mean_std	0.0018969857172443378
sleep_dur_28d_autocorr_max	0.001896696440121238
hr_7d_slope_std	0.0018827862537539953
rmssd_7d_cv_std	0.0018772210765867047
sleep_dur_14d_std_min	0.0018708057029177716
hr_28d_cv_std	0.0018589743589743594
sleep_lat_14d_std_max	0.0018561403508771928
lfhf_28d_autocorr_std	0.0018517039794552852
sleep_lat_28d_slope_min	0.001850892088795315
lfhf_14d_std_max	0.0018497167450430385
lfhf_3d_std_std	0.001834045297098959
rmssd_5d_cv_min	0.0018274853801169592
sleep_lat_5d_mean_min	0.00181827909432024
lfhf_5d_slope_max	0.0018088235294117646
sleep_qual_3d_std_max	0.0017784537292113046
hr_21d_std_mean	0.001763211777680469
sleep_lat_14d_cv_min	0.001758764075175614
sleep_dur_7d_autocorr_std	0.0017435279237540463
hr_14d_mean_max	0.0017364224592485455
hr_5d_std_mean	0.0017358408904024545
sleep_qual_14d_cv_std	0.0017206712453252252
lfhf_5d_cv_mean	0.0017197459795321637
hr_21d_slope_mean	0.0017187499999999994
sleep_qual_5d_cv_std	0.0017128378378378382
rmssd_14d_autocorr_min	0.0017105071331875454
sleep_qual_28d_slope_min	0.0016991143048128343
sleep_onset_sd_14d_std	0.0016974921630094047
sleep_dur_5d_mean_mean	0.0016931438127090299
sleep_dur_5d_cv_mean	0.0016919424019607842
hr_5d_slope_max	0.001688649641996497
hr_28d_autocorr_std	0.001680216802168022
sleep_lat_7d_autocorr_min	0.0016800039216323575
sleep_qual_5d_std_min	0.0016758885902031062
sleep_dur_21d_std_std	0.0016689655172413792
rmssd_5d_cv_std	0.0016677933848819534
sleep_lat_3d_std_std	0.0016600007427213315
hr_5d_std_min	0.0016572874493927126
hr_5d_mean_min	0.001641914501047628
sleep_lat_21d_slope_min	0.0016246744791666668
sleep_dur_21d_cv_min	0.0016114478818283174
lfhf_7d_std_max	0.0016021390374331554
lfhf_5d_mean_max	0.001599093229175742
sleep_qual_28d_cv_mean	0.0015909317456865304
hr_5d_cv_max	0.0015894552818334795
sleep_dur_14d_slope_max	0.0015792952208106476
lfhf_28d_slope_min	0.0015457261029411765
lfhf_21d_autocorr_std	0.0015415436838282623
rmssd_5d_mean_min	0.00153183035061171
hr_7d_cv_min	0.0015311771977368901
rmssd_14d_mean_std	0.001527965682230655
sleep_lat_3d_slope_min	0.0015273704789833822
hr_7d_std_std	0.001519396551724138
sleep_qual_14d_autocorr_std	0.0015149096327257252
rmssd_3d_autocorr_mean	0.001512650582603435
sleep_lat_3d_cv_mean	0.001510394324368916
sleep_dur_3d_autocorr_mean	0.0015079092261271008
sleep_dur_14d_cv_std	0.0015047214569941841
sleep_qual_14d_mean_max	0.0015036327619220103
sleep_qual_7d_autocorr_min	0.0014873541845581318
sleep_qual_3d_cv_std	0.0014839771988894798
rmssd_5d_autocorr_max	0.001482543295984156
rmssd_5d_mean_max	0.001473986221091001
sleep_dur_21d_cv_max	0.0014629497028194893
sleep_qual_7d_autocorr_std	0.0014555527574918155
lfhf_21d_std_mean	0.001449704142011834
hr_14d_mean_min	0.0014496041026908657
hr_21d_mean_std	0.0014418861624569113
sleep_dur_5d_std_max	0.0014364220604629815
rmssd_28d_autocorr_max	0.0014217160176444666
sleep_lat_5d_slope_mean	0.0014206312745811392
sleep_dur_7d_autocorr_mean	0.0014194529428904429
sleep_lat_7d_std_mean	0.0014170265407107516
rmssd_14d_cv_std	0.0014138632041445338
sleep_qual_28d_autocorr_min	0.001404931136073377
sleep_qual_7d_cv_max	0.0013934451985922569
lfhf_28d_slope_max	0.001388888888888889
rmssd_28d_slope_std	0.001384273059363232
sleep_qual_7d_std_min	0.001382366171839856
sleep_qual_21d_slope_mean	0.0013796579532814241
