auc	cohens_d	p_value	ci_lower	ci_upper	n_dep	n_healthy	feature	dataset	stat_type	p_adjusted	status
0.65625	0.5788935631609694	0.033932135728542916	0.5241192136561992	0.7791822445231537	23	32	activity_3d_mean	depresjon	mean	0.24550898203592814	DISCARD
0.5203804347826086	0.07574093756347693	0.8083832335329342	0.5043771222410866	0.6890071322400243	23	32	activity_3d_std	depresjon	standard_deviation	0.9059933230883366	DISCARD
0.6209239130434783	0.4672111241024106	0.10778443113772455	0.5052994694960212	0.7528849206349206	23	32	activity_3d_cv	depresjon	coefficient_of_variation	0.3488811849984242	DISCARD
0.6127717391304348	0.47825504905926447	0.11377245508982035	0.503968870523416	0.764443650793651	23	32	activity_3d_slope	depresjon	slope	0.3532934131736527	DISCARD
0.5461956521739131	0.24156919069588645	0.35129740518962077	0.5026198090470892	0.7018471485411141	23	32	activity_3d_autocorr	depresjon	autocorrelation	0.6262258092510631	DISCARD
0.6426630434782608	0.5545012608183513	0.059880239520958084	0.5134072580645161	0.78	23	32	activity_5d_mean	depresjon	mean	0.27278775781769793	DISCARD
0.5394021739130435	0.018706590469736162	0.9580838323353293	0.5039626436781609	0.7120639447838064	23	32	activity_5d_std	depresjon	standard_deviation	0.9659369785020124	DISCARD
0.626358695652174	0.5481065265894874	0.041916167664670656	0.5092028478057891	0.7613071236559139	23	32	activity_5d_cv	depresjon	coefficient_of_variation	0.24550898203592814	DISCARD
0.7065217391304348	0.7896170049348551	0.007984031936127744	0.5719509425391778	0.8433706896551725	23	32	activity_5d_slope	depresjon	slope	0.1402908468776732	DISCARD
0.5013586956521738	0.040075465223719735	0.8942115768463074	0.5013583304114071	0.6843671679197995	23	32	activity_5d_autocorr	depresjon	autocorrelation	0.932101897899117	DISCARD
0.6440217391304348	0.5420835124736312	0.04590818363273453	0.5093986123219995	0.7836616847826087	23	32	activity_7d_mean	depresjon	mean	0.24550898203592814	DISCARD
0.5733695652173914	0.13065172965884025	0.6586826347305389	0.5027225001208255	0.7311151260504203	23	32	activity_7d_std	depresjon	standard_deviation	0.8258029395753946	DISCARD
0.6358695652173914	0.5584068865948679	0.06786427145708583	0.517469623655914	0.7935337774661056	23	32	activity_7d_cv	depresjon	coefficient_of_variation	0.2782435129740519	DISCARD
0.7092391304347826	0.8124043260198615	0.005988023952095809	0.5652833333333334	0.8683117110799439	23	32	activity_7d_slope	depresjon	slope	0.12275449101796408	DISCARD
0.5271739130434783	0.09264863385397569	0.718562874251497	0.5027161231884059	0.6822882756706287	23	32	activity_7d_autocorr	depresjon	autocorrelation	0.8580896459508168	DISCARD
0.6453804347826086	0.556106586676373	0.043912175648702596	0.5110104683195592	0.7747407227353752	23	32	activity_14d_mean	depresjon	mean	0.24550898203592814	DISCARD
0.6521739130434783	0.5015121212647954	0.05389221556886228	0.5159736413043479	0.7843696250429997	23	32	activity_14d_std	depresjon	standard_deviation	0.25495163519115616	DISCARD
0.6195652173913043	0.5697113108978195	0.043912175648702596	0.51346138996139	0.7460258152173913	23	32	activity_14d_cv	depresjon	coefficient_of_variation	0.24550898203592814	DISCARD
0.7296195652173914	0.8976543537048473	0.001996007984031936	0.6032608695652174	0.8415063025210084	23	32	activity_14d_slope	depresjon	slope	0.08183632734530936	DISCARD
0.6684782608695652	0.59069264304406	0.0499001996007984	0.5355336278141922	0.8138024631340139	23	32	activity_14d_autocorr	depresjon	autocorrelation	0.24550898203592814	DISCARD
0.6666666666666666	0.14130202835893235	0.8303393213572854	0.5	0.8823529411764706	3	16	activity_21d_mean	depresjon	mean	0.9059933230883366	DISCARD
0.625	0.2732983794292086	0.6726546906187625	0.5	0.8358974358974358	3	16	activity_21d_std	depresjon	standard_deviation	0.8273652694610779	DISCARD
0.7708333333333334	0.826213785826111	0.20359281437125748	0.5294117647058824	1.0	3	16	activity_21d_cv	depresjon	coefficient_of_variation	0.5217065868263473	DISCARD
0.6666666666666666	0.44547628566632785	0.499001996007984	0.5	0.9025000000000001	3	16	activity_21d_slope	depresjon	slope	0.7485029940119761	DISCARD
0.6458333333333334	0.05983142488823085	0.9580838323353293	0.5083333333333333	0.9216666666666664	3	16	activity_21d_autocorr	depresjon	autocorrelation	0.9659369785020124	DISCARD
0.5828804347826088	0.3465396601758196	0.18163672654690619	0.5055052341597797	0.7150288916736286	23	32	activity_std_3d_mean	depresjon	standard_deviation	0.48568081228846655	DISCARD
0.5366847826086956	0.05583636926337037	0.8562874251497006	0.5041283951158559	0.71076005130313	23	32	activity_std_3d_std	depresjon	standard_deviation	0.9158552460296797	DISCARD
0.6779891304347826	0.7675994242690749	0.005988023952095809	0.5438080495356037	0.8178333333333335	23	32	activity_std_3d_cv	depresjon	coefficient_of_variation	0.12275449101796408	DISCARD
0.6807065217391304	0.6790178087196231	0.021956087824351298	0.5449954481792717	0.7971626799213006	23	32	activity_std_3d_slope	depresjon	standard_deviation	0.18003992015968065	DISCARD
0.5557065217391304	0.1888786871629067	0.5389221556886228	0.504659649122807	0.7206850885515497	23	32	activity_std_3d_autocorr	depresjon	autocorrelation	0.7736387689736804	DISCARD
0.5801630434782609	0.3380540544915805	0.2315369261477046	0.5013435526540365	0.7176609049257953	23	32	activity_std_5d_mean	depresjon	standard_deviation	0.5584125865915229	DISCARD
0.59375	0.11713507437653607	0.6367265469061876	0.5079463083773429	0.7656559228650138	23	32	activity_std_5d_std	depresjon	standard_deviation	0.8234780439121756	DISCARD
0.6671195652173914	0.762616046263751	0.011976047904191617	0.5425275482093664	0.7983681380160761	23	32	activity_std_5d_cv	depresjon	coefficient_of_variation	0.1432135728542914	DISCARD
0.7255434782608696	0.8354623674997738	0.005988023952095809	0.5833002645502645	0.8481022089761572	23	32	activity_std_5d_slope	depresjon	standard_deviation	0.12275449101796408	DISCARD
0.6154891304347826	0.50892546765636	0.06786427145708583	0.5101818745232648	0.7787623342175066	23	32	activity_std_5d_autocorr	depresjon	autocorrelation	0.2782435129740519	DISCARD
0.5855978260869565	0.33444282210113774	0.2435129740518962	0.5041289256198348	0.74545	23	32	activity_std_7d_mean	depresjon	standard_deviation	0.5651338831770422	DISCARD
0.6222826086956522	0.2521626104065197	0.33532934131736525	0.5131952338848891	0.783645430107527	23	32	activity_std_7d_std	depresjon	standard_deviation	0.6262258092510631	DISCARD
0.6521739130434783	0.7199127072316767	0.013972055888223553	0.5239712365591398	0.8029593066370041	23	32	activity_std_7d_cv	depresjon	coefficient_of_variation	0.1432135728542914	DISCARD
